_Annual_J-D_2019_____________ L-OTI(^S^o^N^C) Anomaly vs 2000-2001              
   i   j     lon     lat    array(i,j)
   1   1 -179.00  -89.00        0.9754
   2   1 -177.00  -89.00        0.9754
   3   1 -175.00  -89.00        0.9754
   4   1 -173.00  -89.00        0.9754
   5   1 -171.00  -89.00        0.9754
   6   1 -169.00  -89.00        0.9754
   7   1 -167.00  -89.00        0.9754
   8   1 -165.00  -89.00        0.9754
   9   1 -163.00  -89.00        0.9754
  10   1 -161.00  -89.00        0.9754
  11   1 -159.00  -89.00        0.9754
  12   1 -157.00  -89.00        0.9754
  13   1 -155.00  -89.00        0.9754
  14   1 -153.00  -89.00        0.9754
  15   1 -151.00  -89.00        0.9754
  16   1 -149.00  -89.00        0.9754
  17   1 -147.00  -89.00        0.9754
  18   1 -145.00  -89.00        0.9754
  19   1 -143.00  -89.00        0.9754
  20   1 -141.00  -89.00        0.9754
  21   1 -139.00  -89.00        0.9754
  22   1 -137.00  -89.00        0.9754
  23   1 -135.00  -89.00        0.9754
  24   1 -133.00  -89.00        0.9754
  25   1 -131.00  -89.00        0.9754
  26   1 -129.00  -89.00        0.9754
  27   1 -127.00  -89.00        0.9754
  28   1 -125.00  -89.00        0.9754
  29   1 -123.00  -89.00        0.9754
  30   1 -121.00  -89.00        0.9754
  31   1 -119.00  -89.00        0.9754
  32   1 -117.00  -89.00        0.9754
  33   1 -115.00  -89.00        0.9754
  34   1 -113.00  -89.00        0.9754
  35   1 -111.00  -89.00        0.9754
  36   1 -109.00  -89.00        0.9754
  37   1 -107.00  -89.00        0.9754
  38   1 -105.00  -89.00        0.9754
  39   1 -103.00  -89.00        0.9754
  40   1 -101.00  -89.00        0.9754
  41   1  -99.00  -89.00        0.9754
  42   1  -97.00  -89.00        0.9754
  43   1  -95.00  -89.00        0.9754
  44   1  -93.00  -89.00        0.9754
  45   1  -91.00  -89.00        0.9754
  46   1  -89.00  -89.00        0.9754
  47   1  -87.00  -89.00        0.9754
  48   1  -85.00  -89.00        0.9754
  49   1  -83.00  -89.00        0.9754
  50   1  -81.00  -89.00        0.9754
  51   1  -79.00  -89.00        0.9754
  52   1  -77.00  -89.00        0.9754
  53   1  -75.00  -89.00        0.9754
  54   1  -73.00  -89.00        0.9754
  55   1  -71.00  -89.00        0.9754
  56   1  -69.00  -89.00        0.9754
  57   1  -67.00  -89.00        0.9754
  58   1  -65.00  -89.00        0.9754
  59   1  -63.00  -89.00        0.9754
  60   1  -61.00  -89.00        0.9754
  61   1  -59.00  -89.00        0.9754
  62   1  -57.00  -89.00        0.9754
  63   1  -55.00  -89.00        0.9754
  64   1  -53.00  -89.00        0.9754
  65   1  -51.00  -89.00        0.9754
  66   1  -49.00  -89.00        0.9754
  67   1  -47.00  -89.00        0.9754
  68   1  -45.00  -89.00        0.9754
  69   1  -43.00  -89.00        0.9754
  70   1  -41.00  -89.00        0.9754
  71   1  -39.00  -89.00        0.9754
  72   1  -37.00  -89.00        0.9754
  73   1  -35.00  -89.00        0.9754
  74   1  -33.00  -89.00        0.9754
  75   1  -31.00  -89.00        0.9754
  76   1  -29.00  -89.00        0.9754
  77   1  -27.00  -89.00        0.9754
  78   1  -25.00  -89.00        0.9754
  79   1  -23.00  -89.00        0.9754
  80   1  -21.00  -89.00        0.9754
  81   1  -19.00  -89.00        0.9754
  82   1  -17.00  -89.00        0.9754
  83   1  -15.00  -89.00        0.9754
  84   1  -13.00  -89.00        0.9754
  85   1  -11.00  -89.00        0.9754
  86   1   -9.00  -89.00        0.9754
  87   1   -7.00  -89.00        0.9754
  88   1   -5.00  -89.00        0.9754
  89   1   -3.00  -89.00        0.9754
  90   1   -1.00  -89.00        0.9754
  91   1    1.00  -89.00        0.9754
  92   1    3.00  -89.00        0.9754
  93   1    5.00  -89.00        0.9754
  94   1    7.00  -89.00        0.9754
  95   1    9.00  -89.00        0.9754
  96   1   11.00  -89.00        0.9754
  97   1   13.00  -89.00        0.9754
  98   1   15.00  -89.00        0.9754
  99   1   17.00  -89.00        0.9754
 100   1   19.00  -89.00        0.9754
 101   1   21.00  -89.00        0.9754
 102   1   23.00  -89.00        0.9754
 103   1   25.00  -89.00        0.9754
 104   1   27.00  -89.00        0.9754
 105   1   29.00  -89.00        0.9754
 106   1   31.00  -89.00        0.9754
 107   1   33.00  -89.00        0.9754
 108   1   35.00  -89.00        0.9754
 109   1   37.00  -89.00        0.9754
 110   1   39.00  -89.00        0.9754
 111   1   41.00  -89.00        0.9754
 112   1   43.00  -89.00        0.9754
 113   1   45.00  -89.00        0.9754
 114   1   47.00  -89.00        0.9754
 115   1   49.00  -89.00        0.9754
 116   1   51.00  -89.00        0.9754
 117   1   53.00  -89.00        0.9754
 118   1   55.00  -89.00        0.9754
 119   1   57.00  -89.00        0.9754
 120   1   59.00  -89.00        0.9754
 121   1   61.00  -89.00        0.9754
 122   1   63.00  -89.00        0.9754
 123   1   65.00  -89.00        0.9754
 124   1   67.00  -89.00        0.9754
 125   1   69.00  -89.00        0.9754
 126   1   71.00  -89.00        0.9754
 127   1   73.00  -89.00        0.9754
 128   1   75.00  -89.00        0.9754
 129   1   77.00  -89.00        0.9754
 130   1   79.00  -89.00        0.9754
 131   1   81.00  -89.00        0.9754
 132   1   83.00  -89.00        0.9754
 133   1   85.00  -89.00        0.9754
